City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Gold Coast,AU,2021-01-15 03:11:53,-28.0,153.4333,88.0,61,0,17.27
217,Pokhara,NP,2021-01-15 03:11:54,28.2333,83.9833,60.08,39,58,0.63
218,Charleston,US,2021-01-15 03:08:07,32.7766,-79.9309,45.0,87,1,8.19
219,Maceio,BR,2021-01-15 03:11:54,-9.6658,-35.7353,77.0,88,40,3.44
220,Geraldton,AU,2021-01-15 03:11:54,-28.7667,114.6,98.6,22,0,18.41
221,Wewak,PG,2021-01-15 03:11:54,-3.5534,143.6268,81.55,81,100,7.07
222,Thompson,CA,2021-01-15 03:11:54,55.7435,-97.8558,14.0,85,90,17.27
223,Namatanai,PG,2021-01-15 03:11:54,-3.6667,152.4333,85.75,65,100,6.08
224,Sibolga,ID,2021-01-15 03:11:54,1.7427,98.7792,84.81,58,97,2.26
225,Elat,IL,2021-01-15 03:11:54,29.5581,34.9482,49.84,68,2,0.56
226,Chinhoyi,ZW,2021-01-15 03:11:54,-17.3667,30.2,66.29,94,100,6.6
227,Margherita,IN,2021-01-15 03:11:54,27.2833,95.6833,59.0,100,90,1.81
228,Suarez,CO,2021-01-15 03:11:55,2.954,-76.6964,67.59,81,83,2.37
229,Leh,IN,2021-01-15 03:11:55,34.1667,77.5833,13.3,37,38,2.17
230,Rundu,NA,2021-01-15 03:11:55,-17.9333,19.7667,66.02,95,100,7.67
231,Yumen,CN,2021-01-15 03:11:55,40.2833,97.2,19.63,83,28,15.7
232,Loa Janan,ID,2021-01-15 03:07:19,-0.583,117.095,73.58,96,100,3.58
233,Haines Junction,CA,2021-01-15 03:11:55,60.7522,-137.5108,15.8,92,100,2.75
234,Hami,CN,2021-01-15 03:11:55,42.8,93.45,16.74,79,0,8.93
235,Touros,BR,2021-01-15 03:08:27,-5.1989,-35.4608,78.8,83,40,6.91
236,Ocampo,MX,2021-01-15 03:11:55,21.65,-101.5,50.99,39,100,2.84
237,Severo-Kurilsk,RU,2021-01-15 03:11:55,50.6789,156.125,25.3,95,100,18.16
238,Selikhino,RU,2021-01-15 03:11:55,50.3672,137.4996,-1.91,89,100,10.6
239,Bad Doberan,DE,2021-01-15 03:11:56,54.1071,11.9005,34.0,80,75,8.05
240,Dubuque,US,2021-01-15 03:11:56,42.4833,-90.8668,33.01,93,90,13.8
241,Lysa Hora,UA,2021-01-15 03:11:56,48.1706,31.1099,24.87,98,14,7.09
242,Beringovskiy,RU,2021-01-15 03:11:56,63.05,179.3167,-16.29,88,19,8.61
243,Mandera,KE,2021-01-15 03:11:56,3.9366,41.867,71.89,78,76,5.79
244,Ostrovnoy,RU,2021-01-15 03:09:53,68.0531,39.5131,5.52,94,98,18.63
245,Margate,GB,2021-01-15 03:11:56,51.3813,1.3862,39.99,69,100,4.0
246,Narsaq,GL,2021-01-15 03:11:56,60.9167,-46.05,17.6,57,69,5.75
247,Porto Seguro,BR,2021-01-15 03:11:56,-16.4497,-39.0647,77.0,83,20,6.91
248,High Level,CA,2021-01-15 03:08:21,58.5169,-117.136,5.0,92,1,2.3
249,Port Lincoln,AU,2021-01-15 03:09:45,-34.7333,135.8667,62.15,51,47,20.02
250,Katsuura,JP,2021-01-15 03:10:28,35.1333,140.3,50.0,70,75,12.66
251,Dunedin,NZ,2021-01-15 03:10:50,-45.8742,170.5036,66.0,69,5,20.0
252,Fairhaven,US,2021-01-15 03:11:57,41.6376,-70.9036,39.99,87,90,5.75
253,Dumalinao,PH,2021-01-15 03:11:57,7.8191,123.3694,81.66,76,90,3.38
254,Ormara,PK,2021-01-15 03:11:57,25.2088,64.6357,66.58,39,0,3.62
255,Sugod,PH,2021-01-15 03:11:57,12.987,124.0805,82.08,75,16,10.04
256,Shimoda,JP,2021-01-15 03:11:57,34.6667,138.95,50.0,76,75,16.11
257,Saint-Louis,SN,2021-01-15 03:11:57,16.3333,-15.0,69.69,21,100,11.88
258,Shenjiamen,CN,2021-01-15 03:08:06,29.9576,122.298,54.36,76,0,12.5
259,Itarema,BR,2021-01-15 03:09:36,-2.9248,-39.9167,77.58,81,25,10.87
260,Aktau,KZ,2021-01-15 03:11:57,43.65,51.2,41.0,100,90,4.47
261,Padre Bernardo,BR,2021-01-15 03:11:57,-15.35,-48.5,69.82,92,100,3.58
262,Magalia,US,2021-01-15 03:08:18,39.8121,-121.5783,55.4,67,1,5.79
263,Virginia Beach,US,2021-01-15 03:09:19,36.8529,-75.978,41.0,70,1,3.76
264,Saint-Philippe,RE,2021-01-15 03:11:58,-21.3585,55.7679,79.0,73,40,4.61
265,Nikolskoye,RU,2021-01-15 03:11:58,59.7035,30.7861,8.01,85,75,4.47
266,George,ZA,2021-01-15 03:11:58,-33.963,22.4617,68.0,94,20,2.3
267,Khatanga,RU,2021-01-15 03:11:58,71.9667,102.5,-51.63,76,50,2.06
268,Atar,MR,2021-01-15 03:11:58,20.5169,-13.0499,61.81,27,100,13.62
269,Tiksi,RU,2021-01-15 03:10:00,71.6872,128.8694,-26.45,86,100,3.58
270,Kirakira,SB,2021-01-15 03:11:58,-10.4544,161.9205,85.42,70,95,7.9
271,Korla,CN,2021-01-15 03:11:58,41.7597,86.1469,19.99,80,0,11.5
